"Mere aktivnosti po statistiènih regijah (v %), Slovenija, letno"

"STATISTIÈNA REGIJA";"MERITVE";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"SLOVENIJA";"Stopnja brezposelnosti";4.4;5.9;7.3;8.2;8.9;10.1;9.7;9.0
"Pomurska";"Stopnja brezposelnosti";7.2;8.4;11.7;15.7;14.3;13.3;13.1;12.5
"Podravska";"Stopnja brezposelnosti";6.4;8.4;9.0;9.7;10.6;11.7;12.0;11.0
"Koroška";"Stopnja brezposelnosti";3.4;3.9;7.9;7.4;7.2;11.3;12.2;9.7
"Savinjska";"Stopnja brezposelnosti";4.7;5.4;5.4;7.5;8.4;11.2;11.0;10.4
"Zasavska";"Stopnja brezposelnosti";5.3;8.8;8.6;6.0;9.4;15.4;11.5;10.8
"Posavska";"Stopnja brezposelnosti";5.2;8.1;9.1;13.1;11.7;10.9;9.1;6.0
"Jugovzhodna Slovenija";"Stopnja brezposelnosti";3.7;6.1;7.1;6.8;9.7;11.1;9.2;9.8
"Osrednjeslovenska";"Stopnja brezposelnosti";3.3;4.3;6.5;7.2;7.3;8.2;7.7;7.3
"Gorenjska";"Stopnja brezposelnosti";3.6;6.3;7.1;7.3;7.5;7.3;6.4;6.9
"Primorsko-notranjska";"Stopnja brezposelnosti";3.5;2.9;4.5;6.7;7.4;6.1;10.0;9.0
"Goriška";"Stopnja brezposelnosti";3.3;4.5;6.0;6.5;8.5;10.1;8.5;7.7
